ID	Number_DAs	Success_DAs	Challenge	Group
0002-YK86	90	50	ELM2A	WT
0002-YK86	91	51	ELM2A	WT
0002-YK86	92	51	ELM2A	WT
0002-YK86	93	51	ELM2A	WT
0002-YK86	94	52	ELM2A	WT
0002-YK86	95	53	ELM2A	WT
0002-YK86	96	54	ELM2A	WT
0002-YK86	97	54	ELM2A	WT
0002-YK86	98	54	ELM2A	WT
0002-YK86	99	54	ELM2A	WT
0002-YK86	100	55	ELM2A	WT
0002-YK86	101	56	ELM2A	WT
0002-YK86	102	57	ELM2A	WT
0002-YK86	103	57	ELM2A	WT
0002-YK86	104	58	ELM2A	WT
0002-YK86	105	59	ELM2A	WT
0002-YK86	106	59	ELM2A	WT
0002-YK86	107	60	ELM2A	WT
0002-YK86	108	60	ELM2A	WT
0002-YK86	109	60	ELM2A	WT
0002-YK86	110	61	ELM2A	WT
0002-YK86	111	61	ELM2A	WT
0002-YK86	112	61	ELM2A	WT
0002-YK86	113	61	ELM2A	WT
0002-YK86	114	61	ELM2A	WT
0002-YK86	115	62	ELM2A	WT
0002-YK86	116	62	ELM2A	WT
0002-YK86	117	62	ELM2A	WT
0002-YK86	118	62	ELM2A	WT
0002-YK86	119	62	ELM2A	WT
0002-YK86	120	62	ELM2A	WT
0002-YK86	121	63	ELM2A	WT
0002-YK86	122	64	ELM2A	WT
0002-YK86	123	64	ELM2A	WT
0002-YK86	124	64	ELM2A	WT
0002-YK86	125	64	ELM2A	WT
0002-YK86	126	64	ELM2A	WT
0002-YK86	127	65	ELM2A	WT
0002-YK86	128	65	ELM2A	WT
0002-YK86	129	66	ELM2A	WT
0002-YK86	130	67	ELM2A	WT
0002-YK86	131	68	ELM2A	WT
0002-YK86	1	0	ELM2R	WT
0002-YK86	2	0	ELM2R	WT
0002-YK86	3	0	ELM2R	WT
0002-YK86	4	0	ELM2R	WT
0002-YK86	5	1	ELM2R	WT
0002-YK86	6	2	ELM2R	WT
0002-YK86	7	2	ELM2R	WT
0002-YK86	8	3	ELM2R	WT
0002-YK86	9	4	ELM2R	WT
0002-YK86	10	4	ELM2R	WT
0002-YK86	11	4	ELM2R	WT
0002-YK86	12	5	ELM2R	WT
0002-YK86	13	5	ELM2R	WT
0002-YK86	14	6	ELM2R	WT
0002-YK86	15	6	ELM2R	WT
0002-YK86	16	6	ELM2R	WT
0002-YK86	17	6	ELM2R	WT
0002-YK86	18	6	ELM2R	WT
0002-YK86	19	6	ELM2R	WT
0002-YK86	20	6	ELM2R	WT
0002-YK86	21	6	ELM2R	WT
0002-YK86	22	7	ELM2R	WT
0002-YK86	23	8	ELM2R	WT
0002-YK86	24	9	ELM2R	WT
0002-YK86	25	9	ELM2R	WT
0002-YK86	26	10	ELM2R	WT
0002-YK86	27	11	ELM2R	WT
0002-YK86	28	11	ELM2R	WT
0002-YK86	29	11	ELM2R	WT
0002-YK86	30	11	ELM2R	WT
0002-YK86	31	12	ELM2R	WT
0002-YK86	32	13	ELM2R	WT
0002-YK86	33	14	ELM2R	WT
0002-YK86	34	15	ELM2R	WT
0002-YK86	35	16	ELM2R	WT
0002-YK86	36	17	ELM2R	WT
0002-YK86	37	17	ELM2R	WT
0002-YK86	38	18	ELM2R	WT
0002-YK86	39	19	ELM2R	WT
0002-YK86	40	19	ELM2R	WT
0002-YK86	41	20	ELM2R	WT
0002-YK86	42	21	ELM2R	WT
0002-YK86	43	22	ELM2R	WT
0002-YK86	44	23	ELM2R	WT
0002-YK86	45	23	ELM2R	WT
